location,crop,supply,demand,input_cost,price
Maseru,maize,500,700,200,150
Leribe,maize,650,650,210,160
Butha-Buthe,wheat,400,300,250,180
Maseru,tomatoes,1000,1200,100,90
Leribe,sorghum,450,400,220,170
Butha-Buthe,potatoes,800,750,180,140
Maseru,maize,600,700,210,155
Leribe,maize,550,680,200,150
Butha-Buthe,maize,500,650,195,148
Maseru,wheat,400,350,250,180
Leribe,wheat,420,370,240,185
Butha-Buthe,wheat,390,360,245,178
Maseru,sorghum,450,500,220,170
Leribe,sorghum,470,520,215,175
Butha-Buthe,sorghum,430,480,210,165
Maseru,tomatoes,1000,1200,100,90
Leribe,tomatoes,950,1100,95,88
Butha-Buthe,tomatoes,980,1150,105,92
Maseru,potatoes,800,750,180,140
Leribe,potatoes,820,770,185,142
Butha-Buthe,potatoes,790,730,175,138
Maseru,maize,620,710,215,158
Leribe,wheat,410,365,242,183
Butha-Buthe,sorghum,460,490,218,168
Maseru,tomatoes,1020,1250,110,95
Leribe,potatoes,810,765,182,141
