market_id,market,countryiso3,admin1,admin2,latitude,longitude
#loc+market+code,#loc+market+name,#country+code,#adm1+name,#adm2+name,#geo+lat,#geo+lon
522,Maseru,LSO,Maseru,Maseru,-29.32,27.48
523,Butha Buthe,LSO,Butha-Buthe,Butha-Buthe,-28.77,28.26
524,Leribe,LSO,Leribe,Leribe,-28.88,28.05
525,Berea,LSO,Berea,Kanana,-29.23,27.61
526,Mafeteng,LSO,Mafeteng,Mafeteng,-29.82,27.25
527,Mohale's Hoek,LSO,Mohale's Hoek,Mohale's Hoek,-30.15,27.46
528,Quthing,LSO,Quthing,Quthing,-30.4,27.72
529,Thaba Tseka,LSO,Thaba-Tseka,Thaba-Tseka,-29.53,28.59
530,Qacha's Nek,LSO,Qacha's Nek,Qacha's Nek,-30.12,28.68
531,Mokhotlong,LSO,Mokhotlong,Mokhotlong,-29.28,29.08
4102,Linakeng,LSO,Thaba-Tseka,Linakeng,-29.53,28.79
4103,Tenesolo,LSO,Thaba-Tseka,Tenesolo,-29.52,28.29
4104,Bokong,LSO,Thaba-Tseka,Bokong,-29.35,28.49
4247,Seate,LSO,Mokhotlong,Seate,-29.21,28.87
4248,Mphokojoane,LSO,Mokhotlong,Mphokojoana,-29.16,28.97
4249,Mokhotlong Urban,LSO,Mokhotlong,Mokhotlong,-29.29,29.07
5942,Berea Urban,LSO,Berea,Tayateyaneng,-29.15,27.75
5943,Bolahla,LSO,Leribe,Bolahla,-29.03,28.23
5944,Hleoheng,LSO,Leribe,Hleoheng,-28.97,27.93
5945,Hlotse Urban,LSO,Leribe,Leribe,-28.87,28.04
5946,Kanana,LSO,Berea,Kanana,-29.29,27.62
5947,Khoelenya,LSO,Mohale's Hoek,Khoelenya,-30.31,27.53
5948,Khutlo-se-Metsi,LSO,Thaba-Tseka,Khutlo-se-Metsi,-29.71,28.43
5949,Kueneng,LSO,Berea,Kueneng,-29.03,28
5950,Kubake,LSO,Maseru,Kubake,-29.68,27.7
5951,Lehlakaneng,LSO,Mafeteng,Ramoetsana,-29.85,27.56
5952,Likila,LSO,Butha-Buthe,Likila,-28.74,28.41
5953,Likolobeng,LSO,Maseru,Likolobeng,-29.49,27.86
5954,Lilala,LSO,Maseru,Lilala,-29.49,27.37
5955,Litjotjela,LSO,Leribe,Litjotjela,-28.93,28.02
5956,Maisa-Phoka,LSO,Leribe,Maisa-Phoka,-28.83,28.22
5957,Makeoana,LSO,Berea,Makeoana,-29.18,28.07
5958,Makhoalipana,LSO,Maseru,Makhoalipana,-29.75,28.14
5959,Makhoarane,LSO,Maseru,Makhoarane,-29.6,27.56
5960,Mamants'o,LSO,Mafeteng,Mamants'o,-29.69,27.44
5961,Manka,LSO,Leribe,Manka,-28.94,27.82
5962,Manonyane,LSO,Maseru,Manonyane,-29.48,27.74
5963,Maoa-Mafubelu,LSO,Leribe,'Maoa-Mafubelu,-28.94,28.16
5964,Mapoteng,LSO,Berea,Mapoteng,-29.16,28.02
5965,Maputsoe,LSO,Leribe,Maputsoe,-28.91,27.93
5966,Maseru Municipal,LSO,Maseru,Maseru,-29.34,27.47
5967,Mashaleng,LSO,Mohale's Hoek,Mohale's Hoek,-30.11,27.47
5968,Matjanyane,LSO,Quthing,Mjanyane,-30.53,27.67
5969,Matsoku,LSO,Leribe,Matsoku,-29.19,28.59
5970,Mazenod,LSO,Maseru,Thota-ea-Moli,-29.42,27.47
5971,Menkhoaneng,LSO,Leribe,Menkhoaneng,-28.87,28.31
5972,Menoaneng,LSO,Mokhotlong,Menoaneng,-29.38,29
5973,Metsi-Maholo,LSO,Mafeteng,Metsi-Maholo,-29.64,27.22
5974,Mohale's Hoek Urban,LSO,Mohale's Hoek,Mohale's Hoek,-30.15,27.45
5975,Mohlakeng,LSO,Maseru,Mohlakeng,-29.47,27.64
5976,Motanasela,LSO,Maseru,Maseru,-29.3,27.47
5977,Mphaki,LSO,Quthing,Mphaki,-30.19,28.14
5978,Ngoajane,LSO,Butha-Buthe,Ngoajane,-28.63,28.41
5979,Nqoe,LSO,Butha-Buthe,Nqoe,-28.78,28.45
5980,Makoabating,LSO,Mafeteng,Makoabating,-29.93,27.43
5981,Ntsupe,LSO,Qacha's Nek,Ntsupe,-29.97,28.74
5982,Qacha's Nek Urban,LSO,Qacha's Nek,Qacha's Nek,-30.1,28.67
5983,Qanya,LSO,Qacha's Nek,Qanya,-30.06,28.48
