Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,20000.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,19000.000000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,21000.000000,A
LSO,2023-01-01,2023-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),2023,2023,7021,Annual value,LCU,5251.000000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5531,Producer Price (SLC/tonne),2020,2020,7021,Annual value,SLC,20000.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5531,Producer Price (SLC/tonne),2021,2021,7021,Annual value,SLC,19000.000000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5531,Producer Price (SLC/tonne),2022,2022,7021,Annual value,SLC,21000.000000,A
LSO,2023-01-01,2023-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5531,Producer Price (SLC/tonne),2023,2023,7021,Annual value,SLC,5251.000000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5532,Producer Price (USD/tonne),2020,2020,7021,Annual value,USD,1214.100000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5532,Producer Price (USD/tonne),2021,2021,7021,Annual value,USD,1285.600000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5532,Producer Price (USD/tonne),2022,2022,7021,Annual value,USD,1283.900000,A
LSO,2023-01-01,2023-12-31,122,'426,Lesotho,176,'01701,"Beans, dry",5532,Producer Price (USD/tonne),2023,2023,7021,Annual value,USD,284.600000,A
LSO,1991-01-01,1991-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,508.000000,A
LSO,1992-01-01,1992-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,597.000000,A
LSO,1993-01-01,1993-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,627.000000,A
LSO,1994-01-01,1994-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,630.000000,A
LSO,1995-01-01,1995-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,739.000000,A
LSO,1996-01-01,1996-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,739.000000,A
LSO,1997-01-01,1997-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,745.000000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,3020.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,3290.000000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,3890.000000,A
LSO,1991-01-01,1991-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),1991,1991,7021,Annual value,SLC,508.000000,A
LSO,1992-01-01,1992-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),1992,1992,7021,Annual value,SLC,597.000000,A
LSO,1993-01-01,1993-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),1993,1993,7021,Annual value,SLC,627.000000,A
LSO,1994-01-01,1994-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,630.000000,A
LSO,1995-01-01,1995-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),1995,1995,7021,Annual value,SLC,739.000000,A
LSO,1996-01-01,1996-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),1996,1996,7021,Annual value,SLC,739.000000,A
LSO,1997-01-01,1997-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),1997,1997,7021,Annual value,SLC,745.000000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),2020,2020,7021,Annual value,SLC,3020.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),2021,2021,7021,Annual value,SLC,3290.000000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5531,Producer Price (SLC/tonne),2022,2022,7021,Annual value,SLC,3890.000000,A
LSO,1991-01-01,1991-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),1991,1991,7021,Annual value,USD,184.000000,A
LSO,1992-01-01,1992-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),1992,1992,7021,Annual value,USD,209.300000,A
LSO,1993-01-01,1993-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),1993,1993,7021,Annual value,USD,191.900000,A
LSO,1994-01-01,1994-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),1994,1994,7021,Annual value,USD,177.400000,A
LSO,1995-01-01,1995-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),1995,1995,7021,Annual value,USD,203.700000,A
LSO,1996-01-01,1996-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),1996,1996,7021,Annual value,USD,171.900000,A
LSO,1997-01-01,1997-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),1997,1997,7021,Annual value,USD,161.700000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),2020,2020,7021,Annual value,USD,183.300000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),2021,2021,7021,Annual value,USD,222.600000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),2022,2022,7021,Annual value,USD,237.800000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,11366.700000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,11933.300000,A
LSO,2022-01-01,2022-01-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7001,January,LCU,13124.400000,A
