date,code,usdprice
#date,#meta+code,#value+usd
2010-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.1
2010-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.1
2010-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.14
2010-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.13
2010-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,5.91
2010-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.16
2010-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.18
2010-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.44
2010-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.44
2010-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.38
2010-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.62
2010-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.39
2010-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.39
2010-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.99
2011-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.9
2011-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.1
2011-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.1
2011-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.45
2011-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.6
2011-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.4
2011-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Maize meal-12.5 KG-Retail-LSL,6.4
